"","Rep","Treat","CGRc","CGRSs","LAIc","LAIs","PHc","PHs","FYc","FYs","FYmix","DMc","DMs","DMmix","CPmix","NDFmix","ADFmix","DMDmix","WSCmix","ADLmix","ProteinYmix","PH","DM","Lactic","Acetic","Propionic","Butyric","AmmoniaN"
"1",1,"NPK100",29.565,9.79,2.5125,3.16425,198,108,32.133,23.877,56.01,7.98,5.89,13.87,14.51,57.97,36.83,68.14,23.88,3.67,2012.537,3.98,32.45,4.08,1.61484999501798,0.137869781066696,0.0480268209978354,2.31
"2",1,"Control",18.6225,7.4225,1.825,2.5375,125,62,13.777,8.444,22.221,2.899,2.058,4.957,12.26,57.78,36.64,66.18,25.22,4.06,607.7282,4.01,32.83,3.89,1.61607868955398,0.176246508369318,0.0287654,1.7822134607615
"3",1,"CM100",26.1075,9.085,2.42,3.15,183,99,25.0489,15.088,40.1369,5.51,3.978,9.4922,14.51,49.05,26.65,65.50784558,22.66,3.69,1377.31822,3.99,32.96,4.07,1.55498301053889,0.172404104594587,0.03426466145718,2.11
"4",1,"Bio",22.55,7.81,2.18,2.81,153,78,17.277,11.433,28.71,3.566,2.842,6.408,12.98,56.74,34.68,66.34,22.31,3.33,831.7584,4.01,32.98,3.84,1.65064358274869,0.190608980510728,0.050484376098175,1.8540394822998
"5",1,"CM50Bio",22.42,7.76,2.12,2.78,152,79,18.193,12.075,30.268,3.36,3.01,6.37,13.28,58.88,36.88,66.82,22.12,3.75,845.936,4.06,32.85,3.88,1.6341533455967,0.197904301926034,0.0411238853452871,1.87408712854735
"6",1,"NPK50CM",28.9225,9.8775,2.46925,3.275,198,113,34.83,23.61,58.44,7.11,6.56,13.67,14.55,48.94,26.67,69.55,21.79,3.62,1988.985,4.01,32.61,3.98,1.60514313277303,0.190798382242479,0.024591398337889,2.09222
"7",1,"NPK50Bio",26.6175,9.18,2.345,3.0125,186,99,25.05,15.51,40.56,5.14,4.21,9.35,13.15,56.14,35.55,65.691457121,23.01,3.82,1229.525,3.98,32.45,3.98,1.69645636405,0.123946910978953,0.03445,1.73397372490561
"8",1,"NPK50CMBio",29.375,9.965,2.4975,3.225,196,111,32.42,23.98,56.4,7.53,5.985,13.519,14.61,49.33,26.73,66.64,22.67,3.72,1975.1259,3.99,33.11,4.01,1.61828271891327,0.155366970741869,0.0287654332,2.07
"9",1,"CM50",22.715,8.1825,2.1,2.79,155,79,17.76,11.777,29.537,3.871,2.772,6.639,12.94,57.24,33.14,67.02,21.87,3.91,859.0866,4.02,32.45,3.77,1.6565499142227,0.107345444117487,0.0327777,2.3004068042185
"10",1,"NPK50",26.65,8.55,2.33,3.05,188,102,25.16,16.133,41.293,5.49,4.393,9.881,13.12,55.57,36.71,66.76,24.15,4.07,1296.3872,4.02,32.81,3.88,1.5948330089941,0.149833152878998,0.0344,1.84449630114658
